project,DivergentChange,FeatureEnvy,MessageChainRule,GodClass,BlobClass,LongMethodRule,ShotgunSurgery,SwitchStatementRule,IntensiveCoupling,LazyClass,LongParameterList,SwissArmyKnife,CommentDetectionRule,PrimitiveObsession,RefusedBequest,StableAbstractionBreaker,BrainMethod,SpeculativeGeneralityInterfaces,DataClump,AlternativeClassesWithDifferentInterfaces,CyclicDependencies,InappropriateIntimacy,UnstableDependencies,DataClassRule,SpeculativeGeneralityMethods,MiddleMan,TraditionBreakerRule,ParallelInheritanceHierarchies
71504033-613c-47bd-9283-fbbf667e745f,789,333,224,24,32,170,143,110,135,142,196,4,1068,209,8,224,31,8,44,316,15,12,5,43,33,1,0,0
74617aa8-887e-4843-a05f-5215d6ca1f87,62,8,32,0,0,3,3,6,5,8,4,0,26,3,1,14,0,0,0,0,0,0,0,0,2,0,0,0
f7b306b3-449b-47a0-a0ee-cc996f83319f,743,120,562,5,16,76,31,39,79,288,171,0,389,138,5,291,12,12,30,280,8,24,1,16,19,18,4,0
3f9f9465-25fd-42d7-b379-0cf53c54eda5,20,1,5,0,1,7,2,12,2,2,1,0,277,13,0,4,4,0,0,0,0,0,0,1,6,0,0,0
934d8617-924a-4cbe-8ff7-0c83feebf5e7,56,4,17,0,0,15,2,14,6,3,16,0,853,20,0,16,3,0,2,2,2,0,0,0,0,0,0,0
167785f7-74f7-4cc7-ae50-a6abc64c7a1b,31,8,10,0,2,3,1,10,2,3,10,0,367,8,0,8,1,0,0,2,2,0,0,1,3,0,0,0
6273fc5c-6ffc-4cdc-9354-9ab1e12fec2d,26,2,24,1,2,5,6,6,4,5,5,0,157,11,0,9,2,0,0,0,2,2,1,0,0,0,0,0
ee1593d3-77af-4ddd-a1d7-d1fdfef8ae34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c37f1a8a-0dec-4cf8-a6cd-e4ee558ae80e,30,3,18,1,0,4,1,0,5,9,4,0,51,3,0,17,0,0,0,2,0,0,0,2,0,0,0,0
65e3ef64-3011-4522-9487-a85f49da46c4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a7094d6c-252e-481c-a11d-e4eeb56bddc5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9e2cbba8-ad88-4e69-829f-613e1f2ef9f6,1,0,0,0,0,0,1,1,1,0,4,0,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0
c649e231-3ddf-4081-833b-ba9526f85683,66,14,46,0,2,4,7,9,5,24,6,0,24,6,0,18,1,0,0,2,3,0,0,0,0,0,0,0
0010afc0-f904-45be-921d-be06bfc66eea,31,11,9,0,1,1,2,4,7,9,10,0,51,8,0,13,0,0,0,8,0,0,0,0,0,0,0,0
5e9470dd-d6c9-4693-90cc-c11734a10338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fd504f0c-4193-4f7c-81a5-62c63cba0a82,54,8,48,0,1,3,1,3,0,15,11,0,205,10,1,17,0,1,0,4,0,0,0,0,12,0,0,0
d903e4dd-0a1c-4dfc-86fc-00ed713b3e8d,27,7,17,0,2,0,1,0,3,5,11,1,0,6,0,9,0,0,2,0,0,0,0,0,23,0,0,0
e2ebcf8e-eda5-418b-be8c-82cb52086b20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
028ef40c-9106-48b4-ab18-4e0fc278b2de,88,9,53,0,0,8,3,8,5,17,6,0,58,15,2,32,0,3,0,4,0,0,0,0,0,0,0,0
5feccf25-7bf8-4f78-b32d-40170a7423be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46397113-8e0f-4d28-b599-23dd7ea2f988,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16ee1e91-e742-47c2-bffe-2e1f012d3fa8,67,4,43,0,1,5,4,1,12,12,14,0,30,13,1,26,2,0,2,6,0,2,0,1,0,0,0,0
b58917cc-ba6b-4108-92f6-d6de6ccf46e6,37,19,15,0,1,5,2,0,7,12,7,0,16,7,0,21,0,0,6,0,0,0,0,1,2,0,0,0
f2e0eb1e-29cc-40e3-8d0b-a88037c190ba,12,4,2,0,1,2,1,0,3,5,11,0,35,3,0,7,1,1,0,0,0,0,0,1,2,0,0,0
1a04bf1e-1cec-4fd2-b1fa-8a541725bdcd,50,20,38,1,2,7,8,3,3,9,9,0,183,31,0,25,3,0,4,4,0,0,0,1,1,1,0,0
0500ab37-0841-459a-b2f0-7e852a988348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7ec3ccd3-f21a-49a5-96a8-5c82c0edda1c,16,3,1,0,0,1,2,1,2,1,1,0,86,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0
272d1975-4fea-466f-86e6-a20fd0498e1b,76,7,25,0,0,8,4,8,4,24,37,0,199,10,0,34,0,1,0,6,0,0,0,4,7,3,0,0
44352e75-24b6-4148-8b13-47990e8093ed,91,23,65,0,3,3,5,6,3,46,27,0,13,20,0,36,1,6,4,4,2,2,1,3,1,0,0,0
c28a382f-25df-4efa-8733-bbcbbe89c432,237,39,209,2,5,20,21,11,19,56,50,0,117,31,0,68,2,0,2,50,1,4,0,2,6,4,0,0
f83214a0-800f-40d9-9426-1243c1345f8d,86,5,190,0,2,10,8,3,12,16,28,0,41,16,0,35,1,0,0,2,2,0,0,1,0,0,0,0
060a1108-fc23-4c01-a107-29d9fce31866,90,29,55,2,6,15,33,11,13,21,18,1,181,17,0,25,0,0,2,16,0,0,0,0,0,0,0,0
26804763-2639-4ac8-91b5-f25500650b22,108,23,48,0,5,4,8,13,7,38,20,0,27,32,0,40,0,1,0,2,0,0,0,7,0,1,0,0
b2759970-23a6-456f-8dda-95ab81b460d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13aabbe1-c16e-4200-ab1b-2f9a71d44a3d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a3735320-7752-412c-9768-814d0f46f04e,128,2,103,0,2,14,7,7,9,48,57,0,121,37,0,69,1,0,6,2,0,0,0,9,2,0,0,0
92b2e624-eea5-4ddf-b780-f95be13ecfba,65,14,73,1,2,13,6,18,17,1,13,0,328,7,0,8,5,0,0,0,0,2,0,0,2,0,0,0
002fb7f2-1609-4189-8278-490901aa4bf0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
bbcf3d93-e691-4daa-956f-a72f24821a12,49,5,41,2,1,4,1,2,7,17,15,0,101,9,0,24,2,2,2,2,1,0,0,1,0,1,0,0
61818a95-df46-4dc8-93e2-2532709df55b,14,0,21,0,0,3,2,0,0,4,4,0,12,2,0,7,0,1,0,0,0,0,0,0,5,0,0,0
bea2f18f-9c9a-4e9e-a3bb-118531255191,114,33,56,0,0,1,34,16,19,13,4,1,23,28,0,15,2,0,2,12,1,4,0,0,0,0,0,0
0a22fcf4-179f-4948-8782-6663338955ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2aecc863-f273-49c8-a2d7-112cd661eb25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7418f47d-d895-4c05-aa1e-57526ec7a419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0b7aa6b1-54df-45e1-a7a6-d614f619b547,19,0,7,0,1,1,4,3,3,8,5,0,14,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0
df8bca65-eb04-4186-b911-a8a2b0626100,72,16,52,1,3,8,13,7,10,17,21,0,175,24,0,48,1,0,0,2,7,6,2,6,1,0,0,0
a656a5b5-e9fc-40b0-8ed0-8bdcc620caf4,48,6,18,0,1,5,10,2,2,21,7,0,567,16,0,17,0,0,0,0,0,0,0,0,0,0,0,0
809e33f8-072d-44e2-bb76-a1c054a94c2d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9648645e-f3db-4f1e-96f5-884a8acb73d1,20,2,5,0,0,2,0,3,1,2,5,0,12,5,0,8,0,0,0,0,1,0,0,0,0,0,0,0
29d4804b-98ed-47cd-95f4-63b86b9863ca,136,27,54,1,4,13,7,9,22,6,32,0,636,14,0,16,4,1,2,0,1,2,0,0,0,0,0,0
8274b35f-6f5d-425f-bd6f-8443bcb944b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8704a28a-e63b-4c4f-a4e5-ae3bb451d73e,714,111,467,2,17,40,48,59,70,297,109,1,522,96,3,250,4,25,6,316,1,2,0,5,9,3,1,0
ac2c0ddd-d9e7-4ef3-a3cc-c67c5b0f1f3c,83,25,70,0,4,10,15,8,2,54,40,0,428,13,1,46,1,0,0,26,0,6,0,22,0,0,0,0
7c3bc41b-2f55-4061-b39e-6f5d9f0eac71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d46f65b7-c689-4c4c-87a0-cadea647a2b5,221,30,185,0,3,14,10,4,17,31,63,0,135,22,0,81,0,0,14,24,1,0,0,5,0,1,0,4
27057d45-1bba-4fa9-be58-9a8172bbd2f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73b7a690-732e-453b-8822-83bd89af020d,52,12,30,0,2,2,8,4,1,12,12,0,105,11,0,25,0,1,0,4,0,0,0,7,5,0,0,0
e09d62a7-bb93-4afe-a1d2-9c1cec6d7ef0,117,20,97,0,3,4,6,7,16,39,24,0,37,39,0,48,0,1,0,18,2,2,1,1,2,0,0,0
91e63f38-080a-41dd-8c4a-5d53d94e6a85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
da5ea5c1-2c25-461c-b127-faf183b67eb8,148,19,80,0,3,4,2,10,16,106,32,0,65,38,0,56,1,8,2,14,2,0,0,3,3,3,0,
b276b673-2fce-45fb-adff-3c02d7c25ab7,116,30,51,0,5,12,15,7,14,42,25,0,325,18,1,54,2,0,2,24,1,0,0,4,4,2,0,
65f3fe39-9acf-4b8f-a8a7-5c517c53159f,6,1,0,0,0,0,1,1,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
9b083130-2a2b-4b83-bf06-43d8b9082306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
de260252-235c-468d-ae71-ce664ad0339c,12,3,3,1,1,1,1,2,1,2,0,0,18,2,0,3,0,0,2,0,1,0,0,0,0,0,0,
fb03bbed-ab6e-4744-ab21-336776d6fe28,196,75,211,1,11,23,1,4,14,121,80,0,262,41,1,68,1,34,34,28,0,12,0,6,3,0,0,
17a8dae9-9675-4aba-a4da-821a9f9a0ea9,10,0,4,0,0,1,0,1,1,6,2,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,
f483bec8-3fce-448d-968b-4676855579a9,2,0,2,0,0,1,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0,
97926e60-dc5f-4d8e-8127-e60001e61e8e,572,124,526,10,12,45,68,41,84,89,222,3,776,50,4,142,4,16,8,227,7,4,2,10,28,2,0,
b8695956-f4a0-4472-85da-a51647571032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
cd3b513a-7a4c-4ebc-8c4b-aac1a3428d98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
a33002ab-0e2f-4c58-9e74-93081d3609ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6a427ddb-bedf-4068-aa61-4bbbd2af942d,96,9,97,0,4,6,4,7,18,24,23,2,105,37,0,29,0,0,50,14,2,0,0,2,1,1,0,
ff2ff434-531e-4cbd-930a-309853ff4254,11,2,5,0,1,0,1,0,1,2,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,
526bef98-3702-46a2-bae4-43b10b4dfb4a,1,3,3,0,0,1,0,0,1,0,4,0,17,1,0,3,0,0,0,0,0,0,0,0,0,0,0,
ac7b7480-d69d-48b7-b278-41477a5264cb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58bc78b3-e6e0-42aa-aab7-582342c2d91a,357,100,298,5,4,32,12,21,38,56,135,1,411,39,0,86,2,13,2,40,2,4,0,6,24,2,0,
637c5f1a-beeb-4a5e-aa81-27223afda576,56,12,48,0,1,3,2,8,5,24,15,0,87,18,0,32,0,0,0,0,2,0,0,4,0,0,0,
f7eb172a-a9bc-4402-a5ec-39ad8bd2e672,10,5,7,0,1,2,1,0,2,2,1,0,141,10,0,7,0,0,0,0,0,0,0,0,10,0,0,
fefd8d93-f894-4503-a35f-8b19e61c7f0e,399,57,310,2,10,32,17,21,43,80,98,1,838,62,0,143,2,4,2,68,2,10,2,8,13,2,0,
fd6eb7de-676c-4974-8997-14f0226b0c7e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7afcb92f-7217-48b5-a7d8-cca1afb35bb8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4f0b604a-08f4-416b-9f7c-63fa140e875b,11,1,6,0,0,1,0,0,0,7,6,0,33,2,0,9,0,0,0,0,0,0,0,1,2,0,0,
f9b1206d-6c24-49d8-b3a5-b5823ae429e0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92b2b9f3-a701-4245-9183-180d38d9f80e,13,2,13,0,0,2,0,0,2,3,3,0,21,4,0,4,0,0,0,0,0,0,0,0,1,0,0,
d6111370-3cd3-46f3-91e4-3d754e8cef32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
313e03d2-0854-4c3c-85fc-03be1b63bd84,19,1,5,0,1,4,1,16,2,1,1,0,220,13,0,4,4,0,0,0,0,0,0,0,6,0,0,
db4d3ad6-564c-47f9-aa7b-2349e5b54e05,34,4,9,3,3,2,4,3,5,10,8,1,179,7,0,11,1,0,2,0,0,0,0,0,10,0,0,
dc02e41d-bd0a-41ed-b0ed-526634d82426,65,10,29,2,2,8,5,6,7,8,17,0,118,11,0,24,1,0,0,0,0,0,0,1,3,0,0,
9e99111c-d5e4-4d52-a845-fa5895195927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ada14cf9-da15-4004-9795-4301b8a73466,51,3,41,0,0,4,1,5,5,16,11,0,51,15,0,25,0,1,2,0,0,0,0,0,0,0,0,
443b1136-2001-4d66-af0b-6288cd181898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
edf8f85b-d840-4132-905a-78aa830cb266,150,52,112,2,1,3,8,5,10,21,74,1,167,11,2,17,0,11,0,16,2,0,0,0,19,0,0,
706cbee6-2cda-4d2f-bc87-c7f1e459a55b,35,3,11,0,1,5,2,7,2,17,7,0,46,12,0,20,1,0,2,0,2,2,0,1,2,0,1,
f474d1fd-c704-4ed3-8f73-27abd7fd791c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4fa7a655-14e7-422f-95f6-525a743b5efa,21,3,10,0,1,0,2,1,0,3,2,0,35,3,0,5,0,0,0,4,0,0,0,0,4,0,0,
